rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap
0,0.0,0.631578947368421,0.8,0.99,0.99,190,293,483,481,0.8984776145338649,0.901646639964397,0.8703246778055116,0.9079999999999299,0.9080000000001497,0.031321962158885386,0.003169025430532102,0.9935691318327974,1.0,1.0064724919093853,0.0,0.41479099678456594,0.41479099678456594
1,0.0,0.631578947368421,0.8,0.99,0.99,197,226,423,420,0.8705339221196304,0.897955946337926,0.8161405362567693,0.9080000000013018,0.9080000000003288,0.08181541008115667,0.027422024218295538,0.9761904761904762,1.0,1.024390243902439,0.3333333333333333,0.5430711610486891,0.20973782771535582
2,0.0,0.631578947368421,0.8,0.99,0.99,209,263,472,469,0.8758129555354294,0.8747390755328013,0.8121788436447333,0.9079999999991359,0.9080000000005476,0.06256023188806803,-0.0010738800026280915,0.9897610921501706,1.0,1.010344827586207,0.6,0.4641638225255973,-0.1358361774744027
3,0.0,0.631578947368421,0.8,0.99,0.99,189,229,418,413,0.8850240893331534,0.8927206311547948,0.8387008733624454,0.907999999999561,0.9079999999995756,0.054019757792349465,0.007696541821641478,0.9818840579710145,1.0,1.018450184501845,0.0,0.4927536231884058,0.4927536231884058
4,0.0,0.631578947368421,0.8,0.99,0.99,198,253,451,448,0.8758370679010279,0.8905152462544156,0.8459801068496721,0.9080000000001648,0.9080000000003238,0.04453513940474352,0.014678178353387694,0.9910714285714286,1.0,1.009009009009009,0.2,0.4551971326164875,0.25519713261648747
5,0.0,0.631578947368421,0.8,0.99,0.99,203,252,455,450,0.8910047570996109,0.8945054266574347,0.8343376557335367,0.90799999999946,0.9079999999990777,0.06016777092389802,0.003500669557823799,0.9629629629629629,1.0,1.0384615384615385,0.375,0.5063694267515924,0.13136942675159236
6,0.0,0.631578947368421,0.8,0.99,0.99,200,278,478,477,0.8650462087863972,0.863102369244524,0.8479062049110133,0.9079999999995513,0.9079999999997868,0.015196164333510676,-0.0019438395418731602,0.991869918699187,1.0,1.0081967213114755,1.0,0.4664310954063604,-0.5335689045936396
7,0.0,0.631578947368421,0.8,0.99,0.99,185,281,466,462,0.8925263967006574,0.8781575536460083,0.8566443724044132,0.9080000000005176,0.9079999999997783,0.02151318124159518,-0.014368843054649028,0.8333333333333334,1.0,1.2,0.6666666666666666,0.4414715719063545,-0.22519509476031213
8,0.0,0.631578947368421,0.8,0.99,0.99,180,269,449,447,0.8791837887010259,0.8892827253482991,0.8477774043539692,0.9080000000003132,0.9079999999999728,0.04150532099432991,0.010098936647273238,0.9930313588850174,1.0,1.0070175438596491,0.5,0.4181184668989547,-0.08188153310104529
9,0.0,0.631578947368421,0.8,0.99,0.99,203,235,438,433,0.869930398989449,0.8483358397537387,0.8232283997139931,0.9079999999997266,0.907999999999689,0.025107440039745632,-0.021594559235710298,0.8333333333333334,1.0,1.2,0.8333333333333334,0.5,-0.33333333333333337
10,0.0,0.631578947368421,0.8,0.99,0.99,185,254,439,434,0.8834700303948596,0.8692813595122655,0.872518855436245,0.9079999999992925,0.9079999999997833,-0.003237495923979483,-0.014188670882594123,0.985663082437276,1.0,1.0145454545454546,0.6666666666666666,0.4050179211469534,-0.26164874551971323
11,0.0,0.631578947368421,0.8,0.99,0.99,194,275,469,467,0.8626174441381941,0.8807492726512265,0.8250828357581363,0.9079999999992758,0.9080000000004071,0.05566643689309014,0.01813182851303241,0.98,1.0,1.0204081632653061,0.5,0.4492753623188406,-0.050724637681159424
12,0.0,0.631578947368421,0.8,0.99,0.99,194,215,409,405,0.8805150870695352,0.8656346663847664,0.8441923262093651,0.9079999999992828,0.9080000000008832,0.021442340175401253,-0.014880420684768803,0.9880952380952381,1.0,1.0120481927710843,0.8,0.5149253731343284,-0.28507462686567164
13,0.0,0.631578947368421,0.8,0.99,0.99,197,236,433,430,0.8580310510618486,0.8901400471356056,0.8152284400773145,0.9079999999998561,0.9079999999995512,0.07491160705829103,0.032108996073756946,0.9903846153846154,1.0,1.0097087378640777,,0.5307692307692308,
14,0.0,0.631578947368421,0.8,0.99,0.99,197,242,439,435,0.8758450933849566,0.885650833937636,0.8373952822907058,0.9079999999994776,0.9080000000005413,0.048255551646930184,0.009805740552679354,0.9854545454545455,1.0,1.014760147601476,0.3333333333333333,0.4727272727272727,0.1393939393939394
15,0.0,0.631578947368421,0.8,0.99,0.99,200,237,437,431,0.8733077803203662,0.8716629414394278,0.816066359800537,0.9080000000000417,0.9079999999992077,0.05559658163889081,-0.0016448388809383596,0.6666666666666666,1.0,1.5,0.6666666666666666,0.4767025089605735,-0.18996415770609315
16,0.0,0.631578947368421,0.8,0.99,0.99,191,267,458,450,0.8814230644474405,0.9049735888816884,0.812185229292877,0.9079999999993597,0.9079999999993464,0.09278835958881149,0.023550524434247988,0.9731543624161074,1.0,1.0275862068965518,0.42857142857142855,0.4899328859060403,0.061361457334611735
17,0.0,0.631578947368421,0.8,0.99,0.99,216,221,437,434,0.88079176201373,0.8711457968549369,0.8344516229152034,0.9079999999996365,0.9079999999993595,0.03669417393973351,-0.009645965158793124,0.9722222222222222,1.0,1.0285714285714287,0.0,0.5143884892086331,0.5143884892086331
18,0.0,0.631578947368421,0.8,0.99,0.99,209,237,446,439,0.8650305297606043,0.8753489730528379,0.8184234752589183,0.9080000000007684,0.9080000000000131,0.05692549779391953,0.010318443292233526,0.8333333333333334,0.992619926199262,1.1911439114391142,0.6666666666666666,0.5202952029520295,-0.14637146371463716
19,0.0,0.631578947368421,0.8,0.99,0.99,191,243,434,429,0.8553954782112545,0.8505522324737871,0.8547310097497477,0.9080000000004745,0.907999999999963,-0.00417877727596061,-0.0048432457374674165,0.9841897233201581,1.0,1.0160642570281124,1.0,0.43478260869565216,-0.5652173913043479
20,0.0,0.631578947368421,0.8,0.99,0.99,203,258,461,457,0.8682201603625281,0.8921592407530727,0.8031491581018246,0.9079999999998685,0.9079999999997554,0.0890100826512481,0.023939080390544598,0.9889705882352942,1.0,1.0111524163568772,0.0,0.5183823529411765,0.5183823529411765
