rep,delta_target,w_B,rho,c_A,c_B,n_A,n_B,n_pos_mix,n_s_mix,auc_mix,auc_A,auc_B,bayes_A,bayes_B,delta_realized,gain,cx_min,cx_max,cx_ratio,comp_q1,comp_q5,comp_gap,sweep
0,0.0,0.631578947368421,0.0,0.99,0.458,190,331,521,337,0.8085502826986805,0.901646639964397,0.8647369191175839,0.9079999999999299,0.9079999999997119,0.0369097208468131,0.09309635726571652,0.5714285714285714,0.8571428571428571,1.5,0.14285714285714285,0.4621212121212121,0.31926406926406925,delta_x_rho
1,0.0,0.631578947368421,0.0,0.99,0.458,197,286,483,317,0.8150536882458025,0.897955946337926,0.8376734841169987,0.9080000000013018,0.9079999999998281,0.06028246222092726,0.08290225809212348,0.5862068965517241,0.6920152091254753,1.1804965332140462,0.38461538461538464,0.5171102661596958,0.13249488154431116,delta_x_rho
2,0.0,0.631578947368421,0.0,0.99,0.458,209,270,479,328,0.8148007958357235,0.8747390755328013,0.8529388641063768,0.9079999999991359,0.9080000000010222,0.02180021142642452,0.05993827969707777,0.6271186440677966,0.7333333333333333,1.1693693693693692,0.15384615384615385,0.49609375,0.34224759615384615,delta_x_rho
3,0.0,0.631578947368421,0.0,0.99,0.458,189,291,480,313,0.8108467467211719,0.8927206311547948,0.8480878674622008,0.907999999999561,0.90799999999969,0.04463276369259406,0.08187388443362298,0.4838709677419355,0.7246963562753036,1.4977058029689607,0.1,0.5182186234817814,0.4182186234817814,delta_x_rho
4,0.0,0.631578947368421,0.0,0.99,0.458,198,296,494,337,0.7979052802440402,0.8905152462544156,0.8790269134150498,0.9080000000001648,0.9080000000002252,0.011488332839365789,0.09260996601037541,0.5833333333333334,0.7148760330578512,1.2255017709563163,0.3333333333333333,0.4669421487603306,0.13360881542699726,delta_x_rho
5,0.0,0.631578947368421,0.0,0.99,0.458,203,288,491,339,0.8036957108738381,0.8945054266574347,0.795177666614963,0.90799999999946,0.9079999999996791,0.09932776004247168,0.09080971578359665,0.48717948717948717,0.7735849056603774,1.5878848063555115,0.23809523809523808,0.5660377358490566,0.3279424977538185,delta_x_rho
6,0.0,0.631578947368421,0.0,0.99,0.458,200,307,507,354,0.8029268990608169,0.863102369244524,0.8625498921869982,0.9079999999995513,0.9079999999995138,0.0005524770575258131,0.06017547018370706,0.625,0.7372549019607844,1.179607843137255,0.375,0.49019607843137253,0.11519607843137253,delta_x_rho
7,0.0,0.631578947368421,0.0,0.99,0.458,185,314,499,325,0.79598929541229,0.8781575536460083,0.8279879751943379,0.9080000000005176,0.9080000000007695,0.05016957845167047,0.08216825823371832,0.3939393939393939,0.75,1.903846153846154,0.25,0.5119047619047619,0.26190476190476186,delta_x_rho
8,0.0,0.631578947368421,0.0,0.99,0.458,180,327,507,332,0.8287988881053847,0.8892827253482991,0.8774888763279562,0.9080000000003132,0.908000000000255,0.011793849020342861,0.060483837242914396,0.5454545454545454,0.7518796992481203,1.3784461152882206,0.2222222222222222,0.3639705882352941,0.1417483660130719,delta_x_rho
9,0.0,0.631578947368421,0.0,0.99,0.458,203,299,502,326,0.8320300194570555,0.8483358397537387,0.8758787476809196,0.9079999999997266,0.9080000000011399,-0.027542907927180837,0.01630582029668326,0.5652173913043478,0.66,1.1676923076923078,0.6190476190476191,0.4375,-0.18154761904761907,delta_x_rho
10,0.0,0.631578947368421,0.0,0.99,0.458,185,299,484,317,0.8014085132853461,0.8692813595122655,0.8639790883862953,0.9079999999992925,0.9080000000009368,0.005302271125970148,0.06787284622691936,0.46153846153846156,0.7153284671532847,1.5498783454987834,0.07692307692307693,0.39915966386554624,0.3222365869424693,delta_x_rho
11,0.0,0.631578947368421,0.0,0.99,0.458,194,330,524,340,0.7924815345386926,0.8807492726512265,0.855330715795832,0.9079999999992758,0.9080000000005004,0.025418556855394514,0.08826773811253386,0.5769230769230769,0.75,1.3,0.375,0.4645669291338583,0.08956692913385828,delta_x_rho
12,0.0,0.631578947368421,0.0,0.99,0.458,194,273,467,323,0.8152175567125729,0.8656346663847664,0.8624748633990778,0.9079999999992828,0.9080000000001304,0.003159802985688631,0.05041710967219348,0.5161290322580645,0.7480314960629921,1.4493110236220472,0.6,0.5,-0.09999999999999998,delta_x_rho
13,0.0,0.631578947368421,0.0,0.99,0.458,197,290,487,325,0.7574969725688411,0.8901400471356056,0.8420137160111142,0.9079999999998561,0.9079999999999832,0.048126331124491384,0.1326430745667645,0.2857142857142857,0.7610619469026548,2.663716814159292,0.0,0.5707964601769911,0.5707964601769911,delta_x_rho
14,0.0,0.631578947368421,0.0,0.99,0.458,197,295,492,348,0.8034317721069242,0.885650833937636,0.8582458972289481,0.9079999999994776,0.9080000000000432,0.027404936708687933,0.08221906183071181,0.6666666666666666,0.71875,1.078125,0.2,0.4701195219123506,0.2701195219123506,delta_x_rho
15,0.0,0.631578947368421,0.0,0.99,0.458,200,286,486,322,0.8086535764080043,0.8716629414394278,0.8779198486311457,0.9080000000000417,0.908000000000485,-0.0062569071917178976,0.06300936503142351,0.5333333333333333,0.6964285714285714,1.3058035714285714,0.4444444444444444,0.4573643410852713,0.012919896640826878,delta_x_rho
16,0.0,0.631578947368421,0.0,0.99,0.458,191,318,509,327,0.8023359610007419,0.9049735888816884,0.852827517429902,0.9079999999993597,0.9079999999998237,0.0521460714517864,0.10263762788094655,0.5294117647058824,0.69921875,1.3207465277777777,0.17647058823529413,0.5078125,0.33134191176470584,delta_x_rho
17,0.0,0.631578947368421,0.0,0.99,0.458,216,285,501,348,0.810680292307946,0.8711457968549369,0.8637269288462792,0.9079999999996365,0.9079999999989525,0.007418868008657653,0.060465504546990845,0.375,0.7381818181818182,1.9684848484848485,0.0625,0.49818181818181817,0.43568181818181817,delta_x_rho
18,0.0,0.631578947368421,0.0,0.99,0.458,209,293,502,352,0.8002635453019962,0.8753489730528379,0.8733587820284244,0.9080000000007684,0.9079999999991453,0.0019901910244134458,0.0750854277508417,0.6,0.7808764940239044,1.301460823373174,0.2857142857142857,0.5099601593625498,0.2242458736482641,delta_x_rho
19,0.0,0.631578947368421,0.0,0.99,0.458,191,311,502,329,0.743931766474155,0.8505522324737871,0.8663658940146948,0.9080000000004745,0.907999999999557,-0.015813661540907686,0.10662046599963204,0.5111111111111111,0.729064039408867,1.4264296423216964,0.3125,0.5073891625615764,0.1948891625615764,delta_x_rho
0,0.0,0.631578947368421,0.4,0.99,0.458,190,312,502,334,0.8530477572912485,0.901646639964397,0.8679562594268477,0.9079999999999299,0.9080000000001697,0.03369038053754925,0.04859888267314849,0.3333333333333333,0.7272727272727273,2.181818181818182,0.0,0.4432624113475177,0.4432624113475177,delta_x_rho
1,0.0,0.631578947368421,0.4,0.99,0.458,197,256,453,306,0.8346484903510645,0.897955946337926,0.834714222260431,0.9080000000013018,0.9079999999992989,0.06324172407749495,0.0633074559868615,0.5714285714285714,0.7192307692307692,1.2586538461538461,0.42857142857142855,0.5538461538461539,0.12527472527472533,delta_x_rho
2,0.0,0.631578947368421,0.4,0.99,0.458,209,279,488,337,0.8602562053680323,0.8747390755328013,0.8437970243255901,0.9079999999991359,0.9079999999992843,0.030942051207211163,0.014482870164769013,0.6545454545454545,0.8235294117647058,1.2581699346405228,0.3333333333333333,0.45674740484429066,0.12341407151095735,delta_x_rho
3,0.0,0.631578947368421,0.4,0.99,0.458,189,271,460,302,0.850603681467309,0.8927206311547948,0.851851662560947,0.907999999999561,0.9080000000009633,0.04086896859384781,0.042116949687485805,0.3333333333333333,0.7276119402985075,2.1828358208955225,0.0,0.48880597014925375,0.48880597014925375,delta_x_rho
4,0.0,0.631578947368421,0.4,0.99,0.458,198,275,473,325,0.8396711633935146,0.8905152462544156,0.8600100916659659,0.9080000000001648,0.9079999999998466,0.030505154588449712,0.05084408286090103,0.4444444444444444,0.7321428571428571,1.6473214285714286,0.3333333333333333,0.4827586206896552,0.14942528735632188,delta_x_rho
5,0.0,0.631578947368421,0.4,0.99,0.458,203,276,479,330,0.8419342731814877,0.8945054266574347,0.7976815618104877,0.90799999999946,0.9079999999991557,0.09682386484694705,0.052571153475946986,0.4117647058823529,0.7508650519031141,1.8235294117647058,0.17647058823529413,0.5294117647058824,0.3529411764705882,delta_x_rho
6,0.0,0.631578947368421,0.4,0.99,0.458,200,283,483,345,0.8152200402211528,0.863102369244524,0.8566903222208004,0.9079999999995513,0.9079999999993723,0.006412047023723555,0.047882329023371195,0.5,0.7419354838709677,1.4838709677419355,0.0,0.5040650406504065,0.5040650406504065,delta_x_rho
7,0.0,0.631578947368421,0.4,0.99,0.458,185,327,512,328,0.8314265422077922,0.8781575536460083,0.8321492238792992,0.9080000000005176,0.9080000000001655,0.0460083297667091,0.04673101143821612,0.4482758620689655,0.6931407942238267,1.5462371563454596,0.375,0.47653429602888087,0.10153429602888087,delta_x_rho
8,0.0,0.631578947368421,0.4,0.99,0.458,180,296,476,318,0.8473232230168967,0.8892827253482991,0.8579077092038325,0.9080000000003132,0.9079999999994887,0.03137501614446658,0.04195950233140244,0.6,0.7547169811320755,1.257861635220126,0.2,0.43272727272727274,0.23272727272727273,delta_x_rho
9,0.0,0.631578947368421,0.4,0.99,0.458,203,262,465,307,0.842671595890859,0.8483358397537387,0.8305782223392122,0.9079999999997266,0.9079999999989457,0.017757617414526528,0.00566424386287967,0.6071428571428571,0.7368421052631579,1.2136222910216719,0.7272727272727273,0.48314606741573035,-0.24412665985699694,delta_x_rho
10,0.0,0.631578947368421,0.4,0.99,0.458,185,290,475,318,0.8400182413219591,0.8692813595122655,0.8764868380900374,0.9079999999992925,0.9079999999989724,-0.007205478577771873,0.02926311819030636,0.5384615384615384,0.8571428571428571,1.5918367346938775,0.2857142857142857,0.42857142857142855,0.14285714285714285,delta_x_rho
11,0.0,0.631578947368421,0.4,0.99,0.458,194,317,511,337,0.8291003936247823,0.8807492726512265,0.8514909826796025,0.9079999999992758,0.9080000000007361,0.02925828997162394,0.05164887902644422,0.5362318840579711,1.0,1.8648648648648647,0.6666666666666666,0.4646840148698885,-0.20198265179677816,delta_x_rho
12,0.0,0.631578947368421,0.4,0.99,0.458,194,240,434,308,0.8445891071227261,0.8656346663847664,0.8507225762403278,0.9079999999992828,0.9080000000010056,0.014912090144438617,0.021045559262040325,0.5652173913043478,1.0,1.7692307692307694,0.75,0.5335968379446641,-0.21640316205533594,delta_x_rho
