rep,delta_target,window,n_pos,share_A,auc
0,0.0,1,311,0.617363344051447,0.8459737502003976
0,0.0,2,328,0.5853658536585366,0.8519729614081348
0,0.0,3,348,0.5517241379310345,0.8523712054934715
0,0.0,5,384,0.5,0.8632844211722682
0,0.0,8,412,0.470873786407767,0.8609349154980223
0,0.0,12,462,0.4199134199134199,0.8726571318976383
1,0.0,1,326,0.6533742331288344,0.8606713882584068
1,0.0,2,336,0.6339285714285714,0.8525050429500691
1,0.0,3,350,0.6085714285714285,0.856168115545212
1,0.0,5,379,0.5646437994722955,0.8603621622037432
1,0.0,8,421,0.5106888361045131,0.8695365814576029
1,0.0,12,478,0.45188284518828453,0.8675227092637563
2,0.0,1,313,0.6134185303514377,0.8651017129654699
2,0.0,2,323,0.5944272445820433,0.8701521040622593
2,0.0,3,332,0.5783132530120482,0.8697850785565062
2,0.0,5,354,0.5423728813559322,0.8680005750072555
2,0.0,8,385,0.4987012987012987,0.8698286119338751
2,0.0,12,428,0.4485981308411215,0.8742469634309161
3,0.0,1,325,0.5938461538461538,0.8651078088578088
3,0.0,2,335,0.5791044776119403,0.861852961642785
3,0.0,3,351,0.5527065527065527,0.8593950171131379
3,0.0,5,377,0.5145888594164456,0.8685612011022121
3,0.0,8,414,0.46859903381642515,0.8644107259271996
3,0.0,12,471,0.4118895966029724,0.8783080953707725
4,0.0,1,338,0.5443786982248521,0.8499299469175233
4,0.0,2,348,0.5287356321839081,0.8532543206615936
4,0.0,3,358,0.5139664804469274,0.8519351536111314
4,0.0,5,376,0.48936170212765956,0.8603562100612179
4,0.0,8,410,0.45121951219512196,0.8581563526538079
4,0.0,12,467,0.39828693790149894,0.8710768595310819
5,0.0,1,303,0.6105610561056105,0.8608030906183401
5,0.0,2,315,0.5873015873015873,0.8587750400191494
5,0.0,3,326,0.5705521472392638,0.865492759224977
5,0.0,5,353,0.5269121813031161,0.8653181123683481
5,0.0,8,391,0.47570332480818417,0.8780753663189108
5,0.0,12,461,0.4078091106290672,0.8828227230013963
6,0.0,1,301,0.6445182724252492,0.8640611196137719
6,0.0,2,310,0.6258064516129033,0.8510290125422753
6,0.0,3,319,0.6081504702194357,0.8606702958075431
6,0.0,5,340,0.5705882352941176,0.8601405369014558
6,0.0,8,376,0.5186170212765957,0.8601626456894504
6,0.0,12,427,0.45901639344262296,0.8712526361168398
7,0.0,1,313,0.6900958466453674,0.890057640355469
7,0.0,2,327,0.6605504587155964,0.8813499137643666
7,0.0,3,334,0.6497005988023952,0.8760125967750662
7,0.0,5,351,0.6182336182336182,0.873148353014125
7,0.0,8,384,0.5677083333333334,0.8731302768306543
7,0.0,12,421,0.517814726840855,0.866993976925687
8,0.0,1,320,0.628125,0.845351617855456
8,0.0,2,332,0.6054216867469879,0.8436553816214979
8,0.0,3,348,0.5775862068965517,0.8475264521879797
8,0.0,5,369,0.5447154471544715,0.8476330507985931
8,0.0,8,413,0.4915254237288136,0.8408349204222454
8,0.0,12,468,0.4358974358974359,0.8480247251196972
9,0.0,1,308,0.6396103896103896,0.860093757815693
9,0.0,2,315,0.6285714285714286,0.8644270903460347
9,0.0,3,327,0.6055045871559633,0.8587460324361929
9,0.0,5,360,0.55,0.862962071363612
9,0.0,8,398,0.49748743718592964,0.8634479410293252
9,0.0,12,446,0.4439461883408072,0.8781613674089456
10,0.0,1,318,0.6352201257861635,0.8443373966003901
10,0.0,2,324,0.6234567901234568,0.8455460903402219
10,0.0,3,329,0.6139817629179332,0.8469472208924752
10,0.0,5,356,0.5702247191011236,0.8483429530962318
10,0.0,8,402,0.5049751243781094,0.8518745339640863
10,0.0,12,454,0.44713656387665196,0.8637704630326943
11,0.0,1,302,0.6622516556291391,0.8665462102765327
11,0.0,2,313,0.6389776357827476,0.8606177385486424
11,0.0,3,323,0.6191950464396285,0.8677634874096032
11,0.0,5,345,0.5797101449275363,0.8687588328206833
11,0.0,8,387,0.5193798449612403,0.872807714123653
11,0.0,12,439,0.45785876993166286,0.8804704476686251
12,0.0,1,308,0.6233766233766234,0.8691538616385963
12,0.0,2,325,0.5907692307692308,0.8630244755244756
12,0.0,3,340,0.5647058823529412,0.8634337569076271
12,0.0,5,361,0.5318559556786704,0.8683343207425318
12,0.0,8,399,0.48120300751879697,0.8722321013524981
12,0.0,12,448,0.42857142857142855,0.8759494182288301
13,0.0,1,309,0.6116504854368932,0.8577679027666254
13,0.0,2,322,0.5869565217391305,0.8626037032142491
13,0.0,3,332,0.572289156626506,0.8635721031393986
13,0.0,5,354,0.536723163841808,0.8640487562755803
13,0.0,8,399,0.47619047619047616,0.8752560990306973
13,0.0,12,443,0.4288939051918736,0.8804698519939048
14,0.0,1,314,0.6178343949044586,0.8700312920965705
14,0.0,2,330,0.5878787878787879,0.8628151472005292
14,0.0,3,342,0.5672514619883041,0.8738949601529681
14,0.0,5,371,0.522911051212938,0.8770532012326383
14,0.0,8,406,0.47783251231527096,0.8827350937318847
14,0.0,12,464,0.4202586206896552,0.8838194942062675
0,0.1,1,307,0.6254071661237784,0.810723188206328
0,0.1,2,321,0.5981308411214953,0.8099394025051676
0,0.1,3,338,0.5680473372781065,0.8178168809605025
0,0.1,5,369,0.5203252032520326,0.8134641694579423
0,0.1,8,394,0.49238578680203043,0.8157022493546118
0,0.1,12,455,0.42637362637362636,0.8083166077111588
1,0.1,1,340,0.6264705882352941,0.8208378916659654
1,0.1,2,351,0.6068376068376068,0.8196455545448833
1,0.1,3,363,0.5867768595041323,0.8204372116005323
1,0.1,5,396,0.5404040404040404,0.810126002801162
1,0.1,8,436,0.49311926605504586,0.815829470585808
